,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,True,PoW/PoS,41.99995383,42
365,365Coin,X11,True,PoW/PoS,,2300000000
404,404Coin,Scrypt,True,PoW/PoS,1055184902.04,532000000
611,SixEleven,SHA-256,True,PoW,,611000
808,808,SHA-256,True,PoW/PoS,0,0
1337,EliteCoin,X13,True,PoW/PoS,29279424622.5027,314159265359
2015,2015 coin,X11,True,PoW/PoS,,0
BTC,Bitcoin,SHA-256,True,PoW,17927175,21000000
ETH,Ethereum,Ethash,True,PoW,107684222.6865,0
LTC,Litecoin,Scrypt,True,PoW,63039243.3000049,84000000
DASH,Dash,X11,True,PoW/PoS,9031294.37563393,22000000
XMR,Monero,CryptoNight-V7,True,PoW,17201143.1449131,0
ETC,Ethereum Classic,Ethash,True,PoW,113359703,210000000
ZEC,ZCash,Equihash,True,PoW,7383056.25,21000000
BTS,Bitshares,SHA-512,True,PoS,2741570000,3600570502
DGB,DigiByte,Multiple,True,PoW,11406219141,21000000000
BTCD,BitcoinDark,SHA-256,True,PoW/PoS,1288862,22000000
CRAIG,CraigsCoin,X11,True,PoS,,30000000
XBS,Bitstake,X11,True,PoW/PoS,0,1300000
XPY,PayCoin,SHA-256,True,PoS,11995334.8847328,12500000
PRC,ProsperCoin,Scrypt,True,PoW,5768310,21000000
YBC,YbCoin,Multiple,True,PoS,,200000000
DANK,DarkKush,X13,True,PoW/PoS,,3000000
GIVE,GiveCoin,X11,True,PoW,,500000000
KOBO,KoboCoin,X15,True,PoW/PoS,25542535.5881841,350000000
DT,DarkToken,NIST5,True,PoW/PoS,,0
CETI,CETUS Coin,Scrypt,True,PoW/PoS,,0
SPR,Spreadcoin,X11,True,PoW,11149733.9976203,20000000
WOLF,Insanity Coin,X11,True,PoW,,50000000
ACOIN,ACoin,SHA-256,True,PoW,0,1600000
AERO,Aero Coin,X13,True,PoS,0,7000000
ALF,AlphaCoin,Scrypt,True,PoW,,210182000
AGS,Aegis,X13,True,PoS,,0
AMC,AmericanCoin,Scrypt,True,PoW,,168000000
ALN,AlienCoin,Scrypt,True,PoW,,200000000
APEX,ApexCoin,X13,True,PoW/PoS,0,6000000
ARCH,ArchCoin,Scrypt,True,PoS,0,16403135
ARG,Argentum,Scrypt,True,PoW,12205795.4449549,64000000
ARI,AriCoin,Scrypt,True,PoW,,322649400
AUR,Aurora Coin,Scrypt,True,PoW/PoS,18135099.992959,16768584
BET,BetaCoin,SHA-256,True,PoW,0,32000000
BEAN,BeanCash,SHA-256,True,PoW/PoS,,50000000000
BLU,BlueCoin,Scrypt,True,PoW/PoS,635423900,0
BQC,BQCoin,Scrypt,True,PoW,,88000000
XMY,MyriadCoin,Multiple,True,PoW,1688254250,2000000000
MOON,MoonCoin,Scrypt,True,PoW,88,384000000000
ZET,ZetaCoin,SHA-256,True,PoW,170204389.754849,169795588
SXC,SexCoin,Scrypt,True,PoW,128940951.183046,250000000
QTL,Quatloo,Scrypt,True,PoW,7357794.7925,100000000
ENRG,EnergyCoin,Scrypt,True,PoW/PoS,123062801.128773,0
QRK,QuarkCoin,Quark,True,PoW,259557164.91477,247000000
RIC,Riecoin,Groestl,True,PoW,49548585.1412917,84000000
DGC,Digitalcoin ,Scrypt,True,PoW,33442988.3440364,48166000
LIMX,LimeCoinX,X11,True,PoW,0,21000000 
BTB,BitBar,Scrypt,True,PoW/PoS,42579.476901,500000
CAIX,CAIx,Scrypt,True,PoS,,0
BTMK,BitMark,Scrypt,True,PoW,0,27580000
BUK,CryptoBuk,Scrypt,True,PoW/PoS,,100000000
CACH,Cachecoin,Scrypt,True,PoW,,2000000000
CAP,BottleCaps,Scrypt,True,PoW/PoS,,47433600
CASH,CashCoin,Scrypt,True,PoW/PoS,0,47433600
CAT,Catcoin,Scrypt,True,PoW,7219956.64626131,21000000 
CBX,CryptoBullion,Scrypt,True,PoW/PoS,1039116.65144562,1000000
CCN,CannaCoin,Scrypt,True,PoW,4703879.51824446,13140000
CIN,CinderCoin,Multiple,True,PoW/PoS,0,114000000
CINNI,CINNICOIN,Scrypt,True,PoW,,15000000
CLR,CopperLark,SHA-256,True,PoW,,27200000
CMC,CosmosCoin,Scrypt,True,PoW/PoS,,100000000
CNC,ChinaCoin,Scrypt,True,PoW,,462500000
CNL,ConcealCoin,X11,True,PoW,,8500000
COMM,Community Coin,Scrypt,True,PoW/PoS,,1000000000
COOL,CoolCoin,Scrypt,True,PoS,0,100000000
CRACK,CrackCoin,X11,True,PoW,,6000000
CRYPT,CryptCoin,X11,True,PoW,4996986.20575291,18000000
CSC,CasinoCoin,Scrypt,True,PoC,39999997299.8568,40000000000
DEM,eMark,SHA-256,True,PoW/PoS,0,0
DMD,Diamond,Groestl,True,PoW/PoS,3304487.74735637,4380000
XVG,Verge,Multiple,True,PoW,15929530669.1206,16555000000
DRKC,DarkCash,X11,True,PoW/PoS,0,3720000
DSB,DarkShibe,Scrypt,True,PoW,0,2043962
DVC,DevCoin,SHA-256,True,PoW,18773857500,21000000000
EAC,EarthCoin,Scrypt,True,PoW,12539015186.822,13500000000
EFL,E-Gulden,Scrypt,True,PoW,20910478.8062499,21000000 
ELC,Elacoin,Scrypt,True,PoW,0,75000000
EMC2,Einsteinium,Scrypt,True,PoW,218871896.499999,299792458
EMD,Emerald,Scrypt,True,PoW,19496786.31025,32000000
EXCL,Exclusive Coin,PoS,True,PoS,5679705,0
